Character,Dialogue
Barret,"We're going to the rail yard, remember?"
Tifa,"Just so you know, this way leads to the station, not the rail yard."
Barret,I told you this ain't the right way!
Tifa,"You really don't like Stamp, do you, Barret?"
Barret,It's not that I hate him. I hate the fact Shinra took a loyal animal like that and co-opted it for their own self-serving agenda.
Tifa,Poor old Stamp.
Barret,Starting to remind me of one Marlene's picture books. The one that's full of nothing but mazes...
Tifa,Think you're making progress and then you hit a wall.
Cloud,Knock it down.
Tifa,You're starting to sound like Barret.
Cloud,Never mind.
Barret,It's a good plan!
Barret,Hey! Hold up! This way.
Tifa,Security is a lot tighter than I thought it would be.
Barret,"If they wanna stand between us and the rail yard, that's their choice."
Barret,No getting through that gate! Let's take the stairs.
Barret,"We should be reaching that secret passage real soon. I knew plan E wouldn't fail us. Shoulda called it ""plan excellent""! Whatcha think, Mister Ex-SOLDIER?"
Cloud,"Biggs made the plan, right?"
Barret,I provided some input.
Cloud,Hope not too much.
Barret,What's that s'posed to mean?
Tifa,Thought this place was abandoned.
Barret,Guess not.
Tifa,So many guards.
Barret,Too many...
Barret,Keep looking for faithful little Stamp. He'll lead us to the passageway.
Cloud,This it?
Cloud,Get back!
Tifa,What the—!?
Barret,That all you got!?
Cloud,Someone's mad.
Barret,"Take your best shot, asshole!"
Cloud,Huh. Looks like an old model.
Barret,So it's an antique.
Cloud,"Don't underestimate it. It's slow, but it hits hard."
Barret,The hell—!? Tough bastard.
Tifa,What do we do?
Cloud,Aim for its legs. Bring it down.
Barret,"I think you've got its attention, Cloud!"
Cloud,I'll draw its fire. You two stay on the offensive.
Tifa,I think it hates me.
Barret,"Hah, look at that! It's tough being Mr. Popular."
Tifa,Not again!
Tifa,"Hey, see that?"
Cloud,That's its heart—a mako generator.
Barret,I'm guessin' we aim for that!
Tifa,What are those?
Cloud,More drones.
Tifa,Get out of our way!
Cloud,Bastards.
Barret,Damn! Think we gotta take these down first.
Barret,This is where I shine!
Barret,That it!?
Tifa,Now what?
Cloud,Could be a system error.
Barret,Thing's probably busted!
Barret,What's it doing now?
Tifa,I think—
Cloud,Get away from the tracks!
Cloud,It can electrify the tracks.
Cloud,Watch out for the surge!
Barret,Shit! It's still going!
Tifa,Now what?
Cloud,Destroy the pilot! That'll expose the generator!
Cloud,All clear.
Barret,And stay down!
Cloud,Let's go.
Tifa,Sure.
Barret,"Alright, this way."
Barret,The passage is beyond these shipping containers. Let's slip through 'em.
Barret,Talk about a tight squeeze...
Tifa,You okay?
Barret,Yeah...
Tifa,"So, you bump into any giant robots like that in Reactor 1?"
Barret,"Yeah, except the bastard looked like a scorpion! Speaking of which...what would you say that last one looked like?"
Tifa,Huh? Uh... Well...
Cloud,Looks dead now.
Barret,Lo and behold.
Barret,All aboard...
Barret,Just so you know...it's not gonna get any easier.
Cloud,When did it ever?
Barret,Through here and straight on to Reactor 5.
Tifa,You make it sound so simple...
Barret,Only 'cause it is. That there's the reactor support pillar.
Cloud,So what's the plan?
Barret,"After plan E comes F, G, and then H!"
Cloud,Thought E was the last.
Tifa,This here is Section F.
Barret,We cut through Section G and head for H.
Tifa,A cargo platform in H will get us closer to the reactor. Biggs should be somewhere over there.
Tifa,Looks like the sun's going down on Midgar...
Barret,Right. Double time! We got a date with a reactor.
Barret,Nothing but air below us.
Cloud,Shut up and move.
Tifa,"Just don't look down, okay?"
Barret,Easy for you to say.
Barret,"Section G's through here, huh?"
Cloud,This a switch for the lamp?
Tifa,This oughta open it.
Tifa,No good?
Cloud,"Needs power, I think."
Barret,That looks more like what we need...
Cloud,Control room.
Tifa,Let's check it out.
Barret,Hey. You see something over there?
Tifa,Maybe the gate didn't budge because there's not enough power to spare?
Barret,Gotta figure this out.
Tifa,Maybe no one uses that entrance.
Barret,I'm getting the feeling no one's come down here for a long time.
Tifa,"No ""plate inspectors,"" huh."
Cloud,Of course.
Tifa,"Hey guys, look at this. Instructions for dealing with a power shortage."
Cloud,"Kill the lights, and we free up power for the gate and other stuff."
Tifa,"""Sun lamps""... You think these are the plate suns? The closest thing we have to the real thing."
Barret,"Gotta put out a sun just to open a gate, huh?"
Tifa,"But if we go through with it, the grounders in Sector 4 will suffer..."
Barret,Now or later—sun's going out for good once we blow the reactor.
Tifa,That's true.
Cloud,Let's go.
Tifa,All these lamps... You'd think they'd be able to balance the load by now though.
Barret,Maybe. If the maintenance guys or whoever weren't playing hooky.
Tifa,"The lamps are important, but when you think about how much mako it must take to keep them running..."
Tifa,"That's gotta be one. Man, look at the size of it."
Barret,"That a console I see near the top of that ladder? A, uh, pretty tall ladder too."
Cloud,I'll go.
Tifa,Okay. We'll wait down here.
Barret,Okay! That's that.
Tifa,"Great job, Cloud!"
Barret,Next stop Section G!
Tifa,"Yep! And after that, Reactor 5!"
Tifa,Not again...
Barret,"Great. I'm sure those things'll welcome us just as warmly as before. Tell you what, the rot runs deep in this damn pizza."
Barret,"Don't mind us, y'all—just passing through!"
Cloud,If only.
Cloud,No way to cross that.
Tifa,Gotta go where the catwalks take us.
Tifa,They busted?
Cloud,"Powered down, is my guess."
Barret,"Lucky us, am I right? One less thing for us to worry about."
Barret,Filling the air that we gotta breathe with their shit.
Tifa,Monsters sure seem to like it. What's up with that?
Barret,It's like in the tunnels. They get twisted by the mako. But it all goes back to Shinra.
Barret,You know the best way to not get lost is to believe that you're not. Mind over matter.
Tifa,Isn't that from one of Marlene's books?
Barret,"Yup, one of her favorites! Loves it when I read it to her before bedtime, doing all the voices."
Tifa,"""Life in the Endless Maze,"" am I right? (chuckles) I remember."
Tifa,You okay?
Cloud,Yeah.
Barret,"Hah. Going for that materia, weren't you?"
Tifa,"So close, and yet so far. This path's no good now."
Barret,I'm sure there's another way to get there.
Tifa,Hm... Nothing we can do but search.
Barret,"And when we find it, we can finally snag that materia."
Tifa,"Hey, let's take a moment to get our bearings."
Barret,"We're still in G, right?"
Tifa,"Yeah. And to reach Mako Reactor 5, we need to go through Section H."
Cloud,Okay.
Tifa,"Unfortunately, I didn't spot a connecting catwalk to Section H. Did you?"
Barret,"Well, we can always do another lap."
Cloud,"Go for ten, why don'tcha."
Tifa,The only other route that I can think of would be...
Cloud,Along the wall.
Tifa,"Up for giving it a try? It might not work out, but it's the only idea I've got."
Cloud,It's not a bad one.
Barret,So we're shooting for those giant fans over there? Okay. At least we've got a clear landmark to guide us.
Tifa,Those ventilation fans?
Barret,Keeping the plate's air clean by pushing the smog into the slums. Whole system's designed to make shit roll downhill faster.
Tifa,You lost?
Tifa,"Hey, look! I think we can climb onto that pipe!"
Cloud,Sure seems that way.
Barret,Dammit.
Barret,"I feel no fear...yeah, no fear...no fear...no fear...no fear...no fear—little fear!"
Barret,"Hey guys, uh...you know, these fans are really loud and..."
Cloud,You chickening out?
Barret,Hell no! I'm just worried that your bony ass is gonna get blown off the side and shit!
Tifa,Enough. We gotta keep moving.
Barret,O-okay then! Follow me!
Barret,"No worse than a windy day, huh?"
Tifa,One with a tornado warning maybe. Don't look at the fan! Whatever you do!
Barret,Right.
Tifa,Made it through in one piece.
Barret,"Think that took a couple years off my life. I—I mean, uh, not really! Couple seconds maybe. Three tops!"
Tifa,"Section H is just up ahead! Slow and steady, guys."
Cloud,And that's our objective?
Tifa,"The cargo platform? Yeah, I'm pretty sure that's the one."
Tifa,"Hey, what's that behind the fan over there?"
Cloud,Isn't that—
Barret,Hey! Don't be a dumbass! Tifa told you not to look at the fan!
Barret,This is it. The cargo platform Biggs was talking about. Let's not keep him waiting.
Barret,You're kidding me.
Cloud,"Needs three light's worth, looks like."
Tifa,"But that's... That's all of them, isn't it?"
Barret,All or nothing...
Tifa,Let's regroup here if we get lost. Remember the H-01 sign.
Cloud,Right.
Barret,Lessee now... Closest light oughta be...
Cloud,That one.
Tifa,"""By the light of these magnificent lamps... we shall lead our brothers and sisters of the undercity to a brighter future."""
Barret,Say what?
Tifa,It's from a speech President Shinra gave talking about the importance of the sun lamps.
Barret,"Brighter future, my ass. Shinra's leading us down a one-way path to darkness and death."
Cloud,Gotta power down a sun lamp first.
Tifa,Look! There's the switch.
Barret,Let's flip it and go.
Tifa,That's one down.
Barret,Only two more lights to go.
Tifa,"""Intrusion prevention""?"
Cloud,Back online 'cause of us.
Barret,"No need to fret, y'all. A few rusted mechs ain't gonna keep us from reaching the reactor."
Cloud,"Mid-range turrets, huh?"
Barret,"Hey, Cloud! Hang back while I deal with these pests."
Tifa,Just made our lives a lot harder.
Cloud,"We restored power to more than just security, remember?"
Tifa,We can move this catwalk!
Barret,Think back. Anybody see a connecting catwalk?
Barret,Which way to the next light?
Tifa,If we can't make sense of this place we're gonna get lost.
Barret,Well at least we know where the big-ass things are.
Barret,And that makes two lights down.
Tifa,Meaning we've only got one left.
Barret,"The end's in sight, y'all!"
Cloud,Should be able to climb down from here.
Barret,"This'll hold, right?"
Cloud,That the Sector 4 slums down there?
Tifa,Huh? You wanna check them out sometime? I can show you around.
Barret,We'll check them out now if we fall!
Tifa,You think they'll miss those three plate suns?
Barret,I say the real sun's the only one we need! To hell with Shinra and their night-lights.
Tifa,We're right back where we started. Hmm... Where was that last light again?
Tifa,Almost done. It's a shame we had to wander around so much.
Barret,Well. No Stamps here to guide us. No Jessie or Wedge to back us up neither.
Tifa,"Yeah... Speaking of which, what should we tell Biggs? I don't want him to worry."
Barret,"Uhh, you takin' a detour? Well, aight then."
Barret,"If there's no viable path, we'll just have to make one."
Tifa,And that makes three. Enough to finally get our cargo platform moving.
Cloud,Better be.
Barret,Okay! Let's head on back to the H-01 sign.
Tifa,I hope that Jessie's injury isn't anything serious.
Barret,The best thing you can do to speed her recovery is to kick Shinra ass in her stead.
Tifa,I know. I know. And Cloud's gotta cover for Wedge too.
Cloud,When do we link up with Biggs?
Barret,"Soon enough, don't you worry."
Tifa,"He knew we might be late, so he came up with a few ways to kill time."
Barret,Oughta reach him long before he dies of boredom.
Tifa,And we're back at the cargo platform.
Barret,"Get ready, Mako Reactor 5. We're coming."
Barret,"So long, underplate. I hate you too."
Tifa,We need to disable a lamp first.
Barret,Where could they be going...? Embarking on an adventure to find some treasure!?
Cloud,Does this control the fans?
Tifa,We stop it?
Barret,"Man, what are we even doing?"
Cloud,Okay.
Barret,What?
Barret,This is summoning materia!
Tifa,Wow...
Barret,What kind of badass will pop outta this one?
Cloud,We'll see.
Tifa,Wonder what the reactor's like.
Barret,Dark. Dismal. A slaughterhouse where they butcher the planet. Then there's the smell. The mako. Be ready for it.
Tifa,Right...
Barret,"Hear that, guys? It's the reactor calling us. Beckoning us, saying ""Bring it on, Avalanche."""
Tifa,"Even after all that fighting, no one's coming for us?"
Cloud,No need. This is Shinra's city. They probably have cameras everywhere.
Tifa,Why didn't you say something sooner?
Cloud,Way too late to bail now.
Barret,"It's like walking a tightrope. When you're on it, only two ways off."
Tifa,Better keep my balance.
Cloud,You'd be good at it.
Tifa,I wonder.
Cloud,Tifa?
Tifa,It's nothing. Just thinking about the next step. Didn't think I'd be this nervous.
Barret,Some things you never get used to.
Tifa,Yeah.
Barret,Report.
Barret,"You magnificent son of a bitch, bring it in!"
Tifa,Jessie got hurt and couldn't make it.
Barret,Not so bad she couldn't rope in this guy.
Cloud,It's a jump.
Barret,Little dark and foreboding for my taste...
Barret,Ready to take on the world and then some!
Tifa,"Make sure everyone gets clear, okay?"
Barret,"Okay, y'all. Keep these grappling guns close. Secure 'em to your belt or whatever so you don't lose 'em. When we're done, we'll be using these babies to get down safe. All of us."
Cloud,Got it.
Barret,That's it. That's the smell. This place reeks of mako.
Tifa,Looks like we made it.
Barret,Layout's the same as Reactor 1?
Cloud,Yeah. We're near mako storage.
Barret,Let's move.
Barret,I'm not seeing a way down...
Tifa,Here maybe?
Barret,Well now! That could work.
Barret,I'm next.
Tifa,"Kinda scary, huh?"
Cloud,S'all in the mind.
Barret,"Hey! Check it out. They sic this big boy on us, we'd be screwed six ways from Sunday."
Cloud,"Mechanized units like these were designed to take out giant monsters. Probably a new prototype. If they do decide to deploy it, then our best bet would be to run like hell."
Barret,Then let's hope he sleeps through the explosion.
Tifa,Where is everybody?
Barret,"You mean Shinra? Got spooked and cleared out, is my guess."
Tifa,Almost there...
Tifa,The smell... It takes me back...
Tifa,Guys!
Barret,"Well, well! What we got here!?"
Cloud,Turrets up top.
Barret,I can deal with those things!
Tifa,So...it was like this last time?
Barret,Little more chaotic—ain't that right?
Cloud,Yeah.
Barret,Hey! SOLDIER boy!
Cloud,Tifa—
Tifa,What?
Cloud,How much time we need?
Barret,Got all the time in the world. This one comes with a remote detonator.
Tifa,Courtesy of Jessie.
Barret,We withdraw to a safe distance—then...kaboom!
Cloud,"""Safe"" distance?"
Barret,What? No such thing?
Barret,We get out the same way we got in. Let's double back.
Barret,What the—Where you goin'!?
Cloud,Weirdly perfect timing.
Tifa,Wait a minute. Is someone watching us?
Barret,The chief warmonger.
Tifa,What is this!?
Barret,The big boy!
Barret,Shhh.
Barret,Shut the hell up!
Tifa,I don't believe it... We played right into Shinra's hands!
Barret,Yeah. And their bullshit news is already peddling their false narrative.
Tifa,So we're screwed.
Barret,No no no no no! Hell no! Listen! They wanna turn this into a spectacle? Then I say let's give 'em one! Let's take down Shinra's big-ass mech in front of everybody!
Cloud,Okay. I'm sold.
Barret,All clear! Now let's see what these bastards were up to...
Tifa,"Barret, Cloud! Over here!"
Barret,Huh? Find something?
Cloud,Keycard. Might come in handy.
Barret,You think!? Nice work!
Tifa,"You really that impatient, Cloud?"
Tifa,It looks like a few of its components are still in transit...
Barret,(chuckles) We'll see about that.
Cloud,Could tamper a little with its loadout...
Tifa,And give ourselves an edge?
Cloud,There should be a console somewhere...
Barret,This the console you talking about?
Barret,Think you can get it to work?
Cloud,Needs a keycard.
Barret,"Well, let's find it then!"
Barret,Try that keycard of yours.
Tifa,You find it?
Cloud,Yeah.
Barret,"Good job! Now, let's check out that console."
Tifa,"""M units,"" huh? I'm guessing that's some sort of component?"
Cloud,Yep. An enhancement powered by liquefied materia.
Barret,Sounds bad.
Cloud,Pretty sure I can divert this unit for disposal.
Barret,What the hell? You got a better plan or something?
Tifa,So far so good.
Barret,Right. Let's move!
Tifa,You think they're watching us? Even now?
Cloud,Yep. Probably got a live feed.
Barret,Nothing we can do about it...'cept smile for the folks at home.
Tifa,Looks like there's two consoles this time.
Barret,Hah! Double the sabotage!
Cloud, If we can find the keycards.
Tifa,Any cards?
Cloud,Just the one.
Tifa,"Two choices, and only one single-use card... It's up to you, Cloud."
Barret,Console talks about big bomber shells. You acquainted?
Cloud,We called 'em BBs. One's enough to blow you to hell and back.
Barret,Could divert them and give it a couple less shots to take out.
Tifa,"What does an ""AI programming core"" do?"
Cloud,Increases processing power dedicated to motor function computation. Makes it move real quick.
Tifa,"A ""real quick"" giant robot, huh? That doesn't sound good. Anyway, we should weigh our options carefully."
Tifa,"So, where did we send the discarded stuff?"
Cloud,"To a storeroom for defective equipment, I'm guessing."
Barret,That so... You think these defective shells and programming cores might be valuable enough to warrant a little...detour?
Cloud,Maybe.
Barret,I say we grab 'em.
Cloud,Hmph. If we get that far.
Barret,"Okay! Listen up, y'all! Everything Shinra has told you is a goddamn lie! Mako is the lifeblood of our planet! Those greedy bastards are bleeding it dry! Y'all gotta rise up—"
Tifa,Barret!? Who are you talking to?
Barret,"The people! Put me on TV, I'mma drop some truth!"
Cloud,Thousand gil says they cut the sound.
Barret,Piece o' cake!
Tifa,Find any cards?
Cloud,Only one. And this time we've got three choices...
Tifa,Take your pick.
Barret,Hell is this?
Cloud,M unit. Another type of enhancement.
Barret,Your call if you wanna nix it.
Barret,"I tell you what, I ain't never looked forward to an execution more in my entire life!"
Tifa,You don't say.
Barret,We're about to make fools outta Shinra while the whole damn city's watching! (chuckles) Times like these you gotta savor!
Tifa,"Oh no—if you're about to ask me to dance, then don't."
Barret,"C'mon, don't be shy! How 'bout you, Cloud?"
Cloud,I don't dance.
Barret,"Buncha pushovers. C'mon, y'all. Let's see what kinda mischief they were getting up to."
Cloud,Four consoles. And never enough keycards...
Tifa,Think we've done enough to weaken the robot?
Cloud,"All that we can, at least."
Barret,It's all good. The stage is set—all that's left is to hijack Heidegger's show!
Barret,We're coming up on the exit. Tifa—detonator still in range?
Tifa,We should be good.
Barret,"The moment big boy goes down, you hit that switch."
Tifa,Right.
Barret,Can't say we didn't prepare. Now we just gotta get it done!
Barret,Look! They're still preppin' it!
Barret,Shit! We too late?
Barret,Y'all never had a chance!
Tifa,"Hey, guys."
Tifa,"Looks like a performance assessment, don't you think?"
Tifa,Reduced response time... Should work in our favor.
Cloud,"We'll figure out its weaknesses as we fight it. As long as we stay focused, we'll be fine. We can do this."
Barret,"For real, though, we need to talk victory poses. Something coordinated for the live, on-camera finish! Could blow up big—start a new trend!"
Cloud,Veto.
Barret,Huh. No way up?
Barret,Damn near gave me a heart attack!
Barret,Bastard cleared the way for us.
Cloud,Real subtle invitation.
Barret,We were gonna spring the trap anyway!
Barret,Big boy's going to an execution all right. We're gonna put him out of his misery while the whole damn city watches!
Tifa,We give it our all and we'll win!
Barret,We're gonna get through this. We're gonna make it home. All of us. No exceptions.
Tifa,Right. We don't wanna disappoint Marlene.
Tifa,"That goes for you too, Cloud. Right?"
Barret,You'd better give her a big ol' smile this time.
Cloud,If the price is right.
Barret,What? Open it already!
Cloud,It's locked down.
Tifa,Is there any way we can get it open?
Cloud,Yeah. From that room over there.
Barret,Why does everything have to be so damn complicated...?
Cloud,"You know, the faulty equipment storeroom's that way too."
Tifa,Do you think we'll find the components we diverted there?
Barret,"It's like a treasure vault! Hoo, I like the sound of that!"
Tifa,So how do we do this?
Cloud,"It's simple, really. We move the levers at the same time."
Tifa,Got these ones.
Barret,"I'll take left. Which just leaves right, SOLDIER boy."
Tifa,So we need to synchronize our movements?
Barret,"In that case, follow my lead."
Cloud,Nah—Tifa's.
Barret,Fine! Have it your way!
Tifa,"Okay, pay attention, you two..."
Tifa,"Three, two, one..."
Barret,"I'm, uh, still getting warmed up!"
Barret,Shit!
Tifa,No good. Let's try again.
Tifa,Don't rush it!
Tifa,Um... Breathe when I breathe!
Barret,No need to grip it so hard!
Barret,Got an idea! Seventh seventh heaven heaven hoo-ah! Seventh seventh heaven heaven hoo-ah!
Cloud,Hell no.
Barret,How 'bout this then? Seveeenth heaven! Heaven! Heaven!
Tifa,"We're doing it my way! Three, two, one..."
Barret,"Hey, are you even trying? How 'bout a chant to help us time it right? Aaa-vaaa-lanche!"
Tifa,This is exhausting!
Barret,"Hey, I think I should lead after all. Five...four...three-two-one-go!"
Cloud,Much better.
Tifa,"We got this. Three, two, one..."
Tifa,"Shake it off. Three, two, one..."
Tifa,"Focus! Three, two, one..."
Tifa,"Let's just get through this. Three, two, one..."
Tifa,Thank god...
Barret,"How the hell we made it through with dumbass here, I'll never know."
Cloud,We really are in sync. Took the words right outta my mouth.
Barret,What did you say!?
Tifa,"Okay, that's it. Let's go."
Barret,Gotcha!
Tifa,Now that is what I call teamwork!
Cloud,Go team.
Barret,Hell yeah! (laughs)
Tifa,We really did it! Great timing—right on the money!
Cloud,Yeah...
Barret,"Whatcha'll got tucked away in that vault, huh?"
Barret,This would be the treasure vault?
Cloud,That's right.
Tifa,What's the catch?
Cloud,Need to bypass a high-level security lock.
Barret,Different from the other one?
Cloud,"Same deal, but we gotta do it several times."
Barret,Hah. Not a problem!
Tifa,"Yeah, let's try!"
Tifa,"Okay, guys. You know what we have to do."
Barret,Copy me?
Cloud,"No, Tifa leads."
Barret,"Oh, fine! After you, girl."
Tifa,"Gotta get past level one first, right? Three, two, one..."
Tifa,"That was great, you guys! Let's keep it up!"
Tifa,Wow! Think we've got this?
Barret,"Hell yeah, bring it on! Ain't nothing I love more than sticking it to Shinra!"
Tifa,"Halfway there. Steady, guys. Three, two, one..."
Tifa,No way! You guys are naturals!
Tifa,"Okay, final round. Don't lose focus. Three, two, one..."
Tifa,Finally. I was beginning to think it'd never end.
Barret,"Ayo, Cloud, what's the deal? You really a bona fire SOLDIER?"
Cloud,We didn't train for this stuff.
Barret,All that marching with no rhythm? How did you SOLDIER on?
Tifa,"Okay, that's enough of that. Let's see what's inside."
Barret,"Take that, Shinra? Makin' us jump through hoops to steal your shit..."
Tifa,Didn't take as long as I expected! Good work guys!
Cloud,Likewise. You made it easy.
Tifa,(chuckles) I put my heart and soul into those countdowns...
Barret,Boo-yah! Bet all the Shinra suits watching enjoyed that!
Tifa,You guys were great!
Tifa,"I swear, your timing was perfect. It's almost like...you could read my mind. SOLDIERs can't do that, can they?"
Cloud,I can't—yet.
Tifa,Thank god.
Barret,"C'mon, you two, let's see what we got."
Tifa,Score! It's just like Cloud said!
Barret,They say a job well done's its own reward... I say take everything that ain't nailed down!
Barret,"All right, time to go!"
Tifa,Look!
Barret,President Shinra?
Cloud,Ex-SOLDIER.
Cloud,...That's right.
Barret,Think you forgettin' someone!?
Barret,Ain't enough hours in the day to hold you to account for all your crimes!
Barret,"Oh, okay then... Let's talk about wasteful indulgences. What is mako? The lifestream! The lifeblood of the planet—our planet! But Shinra keeps on slurping it up like a thirsty dog! Whadda you think's gonna happen if you don't stop, huh!?"
Barret,Don't you dare try to put this on us! If anyone's going along with your plans... it's 'cause you brainwashed 'em!
Barret,Wutai? The hell we are?
Barret,What are they doin'!?
Barret,Goddammit!
Tifa,I'm sick of this. I'm sick of all of this!
Barret,"Cloud! Get your head in the game! We're counting on you, man."
Tifa,"Cloud, are you all right?"
Cloud,"I'm fine, You guys good to go?"
Barret,As good as I'll ever be!
Tifa,Cloud? What'd it do to you?
Barret,Dammit! Big boy means business!
Barret,"Damn, that thing's powerful!"
Tifa,That was too close...
Cloud,We need to come up with a plan.
Tifa,I hate when they do that!
Cloud,Let's take care of them first.
Cloud,Now we can finally take it down!
Cloud,"Damn, all those drones. Time to do your thing, big man."
Barret,"Watch and learn! Just make sure you got my back, all right?"
Cloud,Now! Get in there!
Tifa,Yep! I hear you loud and clear!
Barret,Let me show ya how it's done!
Cloud,Yeah. Light 'em up!
Cloud,Now!
Tifa,Right! Give it all you've got!
Cloud,It's coming. Move!
Cloud,"We almost got this. Come on, guys!"
Tifa,Bring it on!
Barret,Let's show 'em what we're made of!
Tifa,Again!?
Cloud,This ends right here!
Barret,We don't have long to get clear!
Cloud,"Take Tifa, and get outta here!"
Barret,I...I was wrong aboutchya—
Cloud,This ain't the end of the line for you or me!
Tifa,Cloud!
Barret,C'mon!
Cloud,Yeah.
Cloud,"""Back then""?"
Cloud,Have we—
Cloud,Why not...
Cloud,"Yeah, yeah..."
Cloud,"Hey, uh... Who are you? Who are you!?"
Sephiroth,I am...your everything.
Sephiroth,"Oh, Cloud. There's still so much to be done."
Cloud,You're...
Aerith,Aerith. It's Aerith. And you are...?
Cloud,Cloud.
Aerith,Nice to meet you again.
Cloud,"""Again,"" huh?"
Aerith,What? You don't remember? What about...the flowers?
Cloud,Ohhh... The flower girl. And this is...?
Aerith,"An old church in the Sector 5 slums. You came crashing through the roof without so much as a ""look out below."" Fell right into my flower bed. Lucky for you. Like, really."
Cloud,"S-sorry, I-I didn't mean to—"
Aerith,Don't worry about it. They're a lot tougher than they look. This place... It has a kind of power.
Aerith,Before I forget—you dropped this when you landed.
Cloud,Thanks.
Aerith,I've got one too.
Cloud,You and everybody and their mother.
Aerith,"Not like mine, no. It's special. Mine's not good for anything at all."
Cloud,Bet you just don't know how to use it.
Aerith,"Could be. Though, I really don't mind. Just having it is enough. It was a gift from my mother."
Aerith,"Pretty crazy, huh? Us meeting again like this. You should stay awhile."
Aerith,"And just when I had finished tending the flowers here... Gotta start over... Just me, myself, and I..."
Cloud,I could stick around a bit.
Aerith,Really!? You will!? In that case...
Aerith,"He's my bodyguard. And a SOLDIER. Pretty cool, huh?"
Cloud,Ex-SOLDIER.
Aerith,"You don't mind, do you? Bodyguard work's not too different from merc stuff, right?"
Aerith,"Uh... I guessed! From the sword! Just do this for me, okay?"
Cloud,"Fine, but it'll cost you. A lot."
Aerith,"A lot, huh? One date ought to do it."
Cloud,First.
Aerith,Hey! Watch the flowers!
Cloud,I'll make this quick.
Aerith,You better!
Aerith,Really? Since when? This is the first I've heard of it.
Aerith,I don't think that counts then.
Aerith,"Cloud, be careful!"
Aerith,Cloud! No!
Cloud,The hell?
Aerith,Weird. They're not attacking.
Cloud,C'mon.
Aerith,Over here!
Aerith,Nowhere to go but up...
Cloud,Huh?
Aerith,Are they trying to stop us?
Cloud,What do they want?
Aerith,Do they want us to go upstairs?
Cloud,Could be a trap.
Aerith,They're...trying to show us the way.
Cloud,I don't like it.
Aerith,"Um, we should run."
Aerith,Through the attic—maybe we can get out that way!
Cloud,Right. Through that hole.
Aerith,Huh? They saved me...
Cloud,C'mon.
Cloud,I'll go first.
Cloud,Come on.
Aerith,"Aw, man..."
Cloud,"Hey, you okay?"
Aerith,Probably! ...Or maybe not.
Cloud,Run!
Cloud,Could drop that.
Cloud,Can't leave now. She needs help.
Cloud,Okay.
Cloud,Run!
Aerith,Kay!
Aerith,Cloud! Over here!
Aerith,Thank you!
Cloud,Let's move.
Aerith,"Cloud, gimme a hand!"
Cloud,More of those things.
Aerith,It's like they're...guiding us.
Cloud,Stay close.
Aerith,So cool.
Aerith,There!
Cloud,Need to stay ahead of 'em.
Cloud,Or not...?
Cloud,They gone?
Aerith,Yeah. Think so.
Cloud,What are they?
Aerith,I think... Actually...I don't know. Let's just go.
Aerith,Okay. Up for crossing the rooftops? See that pillar over there? There's a station right by it. Shall we mosey on over?
Cloud,Let's.
Aerith,So...what's next for you?
Cloud,A little bit of bodyguard work.
Aerith,Right.
Cloud,"After that, it's back to the Sector 7 slums."
Aerith,You...know how to get there?
Cloud,Yup.
Aerith,Course you do...
Cloud,That suit from earlier. He was one of Shinra's Turks. What's a Turk want with you?
Aerith,Dunno...
Aerith,"Hey, don't Turks keep an eye out for potential SOLDIERs and stuff?"
Cloud,They do more than just scout for candidates. Turks get called in to handle all kinds of situations. With extreme prejudice.
Aerith,Professional bad guys. Gotta love 'em.
Cloud,Back to my question. So what's he to you? Looked like you knew each other.
Aerith,Maybe he thought I could be the greatest SOLDIER yet!
Cloud,Forget it.
Aerith,Hmm? You mad?
Aerith,I...actually...haven't traveled by rooftop before.
Cloud,Be surprised if you had.
Aerith,It's honestly...kind of exciting.
Cloud,Well... First time and all.
Aerith,Wait! Give me a moment!
Aerith,Don't just...run off on your own...
Cloud,Those the words of a SOLDIER candidate?
Aerith,So petty.
Cloud,"So, does no one live in these buildings?"
Aerith,Nope. No one to get mad if we make noise.
Aerith,Looks kinda...rusty.
Cloud,I'll go first.
Cloud,It's pretty old. Be careful.
Aerith,Okay...
Cloud,Easy now.
Aerith,You worry too much. I'm not some princess who needs to be coddled.
Aerith,Shit.
Aerith,Cloud!
Aerith,"Whew, that was unexpected! Thank you, Cloud."
Aerith,"Ah, there it is. The wall."
Aerith,"You know, I thought about leaving once... But...in the end, I couldn't."
Cloud,Too dangerous?
Aerith,"Too much. A whole world, bursting with life. Maybe more than I can handle, I think sometimes... Even now. People hate the steel sky, the slums...but I don't. How could I? All that passion, all those dreams... Flowing and blending together into something greater..."
Aerith,"This time I'll go first. After all, I can't count on you to wait."
Cloud,Sure about this?
Aerith,See for yourself!
Aerith,Hmm... Maybe I'll go on ahead and leave you all by your lonesome! Just—
Cloud,Maybe you shouldn't talk.
Aerith,Then you talk. Tell me a story.
Cloud,Not for free.
Aerith,Cheapskate. You're—(screams)
Aerith,Gotcha.
Cloud,You're killing me here.
Aerith,Here goes nothing!
Cloud,You good?
Aerith,Of course!
Aerith,My hero!
Cloud,Never a dull moment with you.
Aerith,That a compliment?
Cloud,Not really.
Aerith,Thanks anyway!
Aerith,"We're getting closer to the station. Even so, we'll probably run into a few monsters on the way."
Aerith,"Heh... There's a face that screams ""so what?"""
